"Date";"Open";"High";"Low";"Close";"Currency"
"2021-09-16";1.1819;1.1823;1.1751;1.1765;"USD"
"2021-09-15";1.1803;1.1833;1.18;1.1816;"USD"
"2021-09-14";1.181;1.1846;1.18;1.1804;"USD"
"2021-09-13";1.1811;1.1819;1.1769;1.1811;"USD"
"2021-09-10";1.1824;1.1852;1.1809;1.181;"USD"
"2021-09-09";1.1816;1.1843;1.1805;1.1825;"USD"
"2021-09-08";1.1841;1.1853;1.1803;1.1818;"USD"
"2021-09-07";1.187;1.1886;1.1838;1.1843;"USD"
"2021-09-06";1.188;1.1888;1.1856;1.1871;"USD"
"2021-09-03";1.1876;1.1909;1.1866;1.1879;"USD"
"2021-09-02";1.184;1.1878;1.1833;1.1874;"USD"
"2021-09-01";1.181;1.1859;1.1793;1.1842;"USD"
"2021-08-31";1.1797;1.1848;1.1795;1.1808;"USD"
"2021-08-30";1.18;1.1811;1.1783;1.1799;"USD"
"2021-08-27";1.1751;1.1804;1.1735;1.1797;"USD"
"2021-08-26";1.1773;1.1782;1.1746;1.1752;"USD"
"2021-08-25";1.1756;1.1776;1.1726;1.1771;"USD"
"2021-08-24";1.1747;1.1766;1.1727;1.1759;"USD"
"2021-08-23";1.1699;1.1751;1.1692;1.1745;"USD"
"2021-08-20";1.1678;1.1706;1.1664;1.1701;"USD"
"2021-08-19";1.1711;1.1718;1.1666;1.1679;"USD"
"2021-08-18";1.1709;1.1744;1.1695;1.1709;"USD"
"2021-08-17";1.1779;1.1785;1.1707;1.1707;"USD"
"2021-08-16";1.1799;1.1803;1.1767;1.1777;"USD"
"2021-08-13";1.173;1.1805;1.1728;1.1797;"USD"
"2021-08-12";1.1741;1.1749;1.1724;1.1729;"USD"
"2021-08-11";1.1718;1.1755;1.1705;1.174;"USD"
"2021-08-10";1.1738;1.1744;1.1709;1.1722;"USD"
"2021-08-09";1.1764;1.177;1.1735;1.1736;"USD"
"2021-08-06";1.1832;1.1838;1.1755;1.1764;"USD"
"2021-08-05";1.1837;1.1859;1.1828;1.1834;"USD"
"2021-08-04";1.1866;1.1902;1.1832;1.1839;"USD"
"2021-08-03";1.1871;1.1894;1.1854;1.1865;"USD"
"2021-08-02";1.1869;1.1898;1.186;1.1873;"USD"
"2021-07-30";1.1886;1.1909;1.1852;1.1868;"USD"
"2021-07-29";1.1843;1.1894;1.1841;1.1888;"USD"
"2021-07-28";1.1819;1.1851;1.1773;1.1844;"USD"
"2021-07-27";1.1804;1.1843;1.177;1.1818;"USD"
"2021-07-26";1.1772;1.1819;1.1764;1.1803;"USD"
"2021-07-23";1.1772;1.1787;1.1756;1.1771;"USD"
"2021-07-22";1.1797;1.1831;1.1758;1.177;"USD"
"2021-07-21";1.1781;1.1806;1.1752;1.1796;"USD"
"2021-07-20";1.1803;1.1804;1.1756;1.1783;"USD"
